age,sex,edu,race,income,us_residency,wb,mind,belong,efficacy,support,idea,soc_med,npi,moa_ach,moa_import
NA,NA,NA,,NA,NA,3.666666667,3.733333333,3.4,3.2,73,3,32,7,48,68
NA,NA,NA,,NA,NA,5.5,3.933333333,3.2,3.8,67,3.625,38,3,40,64
NA,NA,NA,,NA,NA,4.833333333,3,4.1,3,65,3.25,33,4,45,73
NA,NA,NA,,NA,NA,6,5,3.6,3.3,65,3.25,35,2,44,72
NA,NA,NA,,NA,NA,3.833333333,4.266666667,3.1,2.8,58,3.25,32,7,37,67
NA,NA,NA,,NA,NA,2.166666667,4.2,2.6,3.3,38,2.5,28,5,36,60
NA,NA,NA,,NA,NA,3.833333333,3.2,3.2,3,51,3.875,38,6,40,29
NA,NA,NA,,NA,NA,2.5,2.6,3.4,2.8,53,3.375,29,6,30,49
NA,NA,NA,,NA,NA,4.833333333,4.066666667,3.1,3.5,71,3.5,29,6,39,71
NA,NA,NA,,NA,NA,3.833333333,NA,2.8,3.444444444,47,3.5,28,5,54,53
NA,female,NA,,NA,NA,2.333333333,2.866666667,3.3,1.2,55,3.25,15,1,28,48
NA,NA,NA,,NA,NA,2,6,2.2,1,12,3,33,3,34,51
NA,NA,NA,,NA,NA,2.5,4.133333333,2.5,2.8,69,2.5,25,0,41,57
NA,NA,NA,,NA,NA,5.333333333,3.066666667,2.4,3.5,73,3.25,34,7,45,60
NA,NA,NA,,NA,NA,6,5.6,1.6,2.9,67,3.625,31,3,35,42
NA,NA,NA,,NA,NA,5.666666667,3.533333333,4,2.7,74,3.5,35,3,39,76
NA,NA,NA,,NA,NA,6,3.6,3.3,3.1,58,3.375,28,1,47,58
NA,NA,NA,,NA,NA,3.166666667,3.866666667,3.5,3.2,62,3.125,12,2,46,39
NA,NA,NA,,NA,NA,5.166666667,3.733333333,4.1,3.7,81,4,34,5,38,78
NA,NA,NA,,NA,NA,5.166666667,4.533333333,NA,3.7,83,2.75,35,4,50,80
NA,NA,NA,,NA,NA,4,4.4,3.5,3.2,74,3,30,1,38,67
NA,NA,NA,,NA,NA,3.166666667,3.2,4.3,2.8,53,3.5,34,1,31,55
NA,NA,NA,,NA,NA,7,2.066666667,3.7,3.5,84,3.75,48,4,31,66
NA,NA,NA,,NA,NA,3.833333333,2.6,3.4,3.8,64,4,29,8,45,61
NA,NA,NA,,NA,NA,1.666666667,2.866666667,2.5,2,45,3.125,28,5,32,66
NA,NA,NA,,NA,NA,5.833333333,3.2,2.5,3.4,64,3.625,45,2,33,76
NA,NA,NA,,NA,NA,4.666666667,4.866666667,2.5,2.8,67,3,34,8,41,77
NA,NA,NA,,NA,NA,5.666666667,3.6,3.6,2.9,76,3.5,35,0,33,70
NA,NA,NA,,NA,NA,3.666666667,4,3.1,2.7,61,3.375,21,4,33,59
NA,NA,NA,,NA,NA,5,3.066666667,3.3,2.7,73,3.875,40,3,35,64
NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,0,6,NA,NA
NA,female,highschoolorless,white,"60-79,999",yes,4.166666667,4,3.1,2.6,51,3.375,37,2,32,66
NA,female,"somecollege,notattending",white,"40-59,999",no,2.5,4.266666667,3.9,1.7,72,3.875,25,0,37,62
NA,male,"somecollege,notattending",white,"20-39,999",yes,2.333333333,3.733333333,3.4,2.7,59,2.75,33,1,42,54
NA,male,"somecollege,notattending",white,"under20,000",yes,4.666666667,2.8,2.9,3.5,73,3.5,31,7,53,58
NA,female,"somecollege,notattending",Hispanic,"20-39,999",yes,2.166666667,4.666666667,1.3,3.1,67,3.875,19,7,44,70
NA,male,highschoolorless,Hispanic,"20-39,999",yes,5.166666667,4.333333333,3,2.9,70,3.125,24,6,45,69
NA,female,highschoolorless,"1,4","60-79,999",yes,3,4.266666667,1.7,3.2,36,3.75,11,0,39,67
18,female,highschoolorless,Hispanic,"20-39,999",yes,3.666666667,4.6,2.9,3,77,3.75,43,6,37,77
18,male,highschoolorless,"1,3","20-39,999",yes,5.333333333,3.2,2.2,3.9,61,3.625,43,7,33,68
25,male,highschoolorless,Hispanic,"under20,000",yes,2,4,2.7,2.9,33,3.125,36,4,40,66
21,male,highschoolorless,white,"under20,000",yes,3.333333333,3.6,1.6,3.6,48,3.5,38,5,39,61
NA,female,"somecollege,notattending",white,"40-59,999",yes,4.5,4,4,2.7,68,2.875,39,2,45,58
NA,female,highschoolorless,white,"under20,000",yes,3.666666667,3.266666667,2.6,3.4,59,3.625,28,6,42,67
18,female,highschoolorless,white,not say,yes,3.833333333,4.533333333,2.7,2.8,54,3.25,32,4,31,44
23,male,"somecollege,notattending",white,"60-79,999",yes,5.166666667,4.266666667,3.2,3.2,70,3.625,33,8,51,63
NA,female,highschoolorless,Hispanic,"100-199,999",yes,3,2.333333333,3,3.8,52,3.875,46,6,31,66
21,female,"somecollege,notattending",white,"under20,000",yes,3.333333333,3.933333333,2.6,3.4,66,4,24,3,42,73
27,female,highschoolorless,"1,3","under20,000",yes,4.833333333,4.866666667,2.2,3.7,69,3.625,19,7,41,55
22,female,"somecollege,notattending",Hispanic,not say,no,2.833333333,4.466666667,2.9,2.9,48,3.25,33,5,40,70
18,female,highschoolorless,AfricanAmerican,not say,yes,4.666666667,3.333333333,3,3,37,3.5,25,3,36,76
18,male,highschoolorless,white,not say,yes,6.333333333,3.066666667,2.9,3.6,77,2.875,25,8,39,74
NA,male,highschoolorless,white,not say,yes,2,3.066666667,5,2.6,46,3.5,22,0,37,51
NA,other,highschoolorless,white,not say,yes,2.666666667,2.4,4.1,2.7,66,3,40,5,36,52
NA,male,highschoolorless,"1,4","under20,000",yes,1.333333333,1.533333333,4.2,2.6,31,4,30,2,40,46
NA,female,"somecollege,notattending","1,3","under20,000",yes,3.666666667,3.6,3.8,3.5,67,3.625,40,0,36,58
NA,other,"somecollege,notattending",white,"under20,000",yes,1.666666667,3.466666667,2.4,3.1,50,2.625,26,0,37,57
NA,male,highschoolorless,white,not say,yes,3.5,3,3.5,3.8,76,3.625,22,4,31,53
NA,female,highschoolorless,white,not say,yes,1.166666667,3.6,4.1,2,38,3.125,33,1,34,60
NA,other,highschoolorless,white,"20-39,999",yes,2.666666667,2.8,3.5,2.6,71,3.5,42,1,39,54
NA,other,highschoolorless,white,not say,yes,3.833333333,2.6,3.7,1.9,58,3.25,43,4,33,53
NA,other,highschoolorless,white,"under20,000",yes,2.5,2,4.2,2.2,47,3.375,36,0,43,61
NA,other,highschoolorless,white,"20-39,999",no,1,1.333333333,4.6,1.1,22,3.25,17,2,30,55
19,female,"somecollege,notattending",Asian-Pacific,"100-199,999",yes,4.333333333,4,3,2.9,62,3.375,39,3,37,71
