Name,Team,Birthdate,Nationality,Weight,Height,Specialty
Tadej  Pogačar,UAE Team Emirates - XRG,9/21/98,Slovenia,66,1.76,Leader
João  Almeida,UAE Team Emirates - XRG,8/5/98,Portugal,63,1.78,Climber
Jhonatan  Narváez,UAE Team Emirates - XRG,3/4/97,Ecuador,65,1.74,All-rounder
Nils  Politt,UAE Team Emirates - XRG,3/6/94,Germany,80,1.92,All-rounder
Pavel  Sivakov,UAE Team Emirates - XRG,7/11/97,France,70,1.88,Climber
Marc  Soler,UAE Team Emirates - XRG,11/22/93,Spain,68,1.86,Climber
Tim  Wellens,UAE Team Emirates - XRG,5/10/91,Belgium,71,1.82,All-rounder
Adam  Yates,UAE Team Emirates - XRG,8/7/92,Great Britain,58,1.73,Leader
Jonas  Vingegaard,Team Visma | Lease a Bike,12/10/96,Denmark,58,1.75,Leader
Edoardo  Affini,Team Visma | Lease a Bike,6/24/96,Italy,80,1.9,All-rounder
Tiesj  Benoot,Team Visma | Lease a Bike,3/11/94,Belgium,72,1.9,All-rounder
Victor  Campenaerts,Team Visma | Lease a Bike,10/28/91,Belgium,68,1.73,All-rounder
Matteo  Jorgenson,Team Visma | Lease a Bike,7/1/99,United States,69,1.9,Climber
Sepp  Kuss,Team Visma | Lease a Bike,9/13/94,United States,61,1.82,Climber
Wout van Aert,Team Visma | Lease a Bike,9/15/94,Belgium,78,1.9,All-rounder
Simon  Yates,Team Visma | Lease a Bike,8/7/92,Great Britain,58,1.72,Climber
Remco  Evenepoel,Soudal Quick-Step,1/25/00,Belgium,61,1.71,Leader
Mattia  Cattaneo,Soudal Quick-Step,10/25/90,Italy,67,1.84,All-rounder
Pascal  Eenkhoorn,Soudal Quick-Step,2/8/97,Netherlands,72,1.85,All-rounder
Tim  Merlier,Soudal Quick-Step,10/30/92,Belgium,76,1.88,Sprinter
Valentin  Paret-Peintre,Soudal Quick-Step,1/14/01,France,52,1.78,Climber
Maximilian  Schachmann,Soudal Quick-Step,1/9/94,Germany,71,1.83,All-rounder
Bert Van Lerberghe,Soudal Quick-Step,9/29/92,Belgium,83,1.9,All-rounder
Ilan Van Wilder,Soudal Quick-Step,5/14/00,Belgium,64,1.71,Climber
Harry  Sweeny,EF Education - EasyPost,7/9/98,Australia,75,1.86,All-rounder
Neilson  Powless,EF Education - EasyPost,9/3/96,United States,67,1.83,All-rounder
Ben  Healy,EF Education - EasyPost,9/11/00,Ireland,65,1.75,All-rounder
Kasper  Asgreen,EF Education - EasyPost,2/8/95,Denmark,75,1.93,All-rounder
Marijn van den Berg,EF Education - EasyPost,7/19/99,Netherlands,73,1.82,Sprinter
Alex  Baudin,EF Education - EasyPost,5/25/01,France,64,1.83,Climber
Michael  Valgren,EF Education - EasyPost,2/7/92,Denmark,71,1.79,All-rounder
Vincenzo  Albanese,EF Education - EasyPost,11/12/96,Italy,70,1.75,Sprinter
Bruno  Armirail,Decathlon AG2R La Mondiale Team,4/11/94,France,72,1.9,All-rounder
Stefan  Bissegger,Decathlon AG2R La Mondiale Team,9/13/98,Switzerland,78,1.81,All-rounder
Clément  Berthet,Decathlon AG2R La Mondiale Team,8/2/97,France,68,1.84,Climber
Felix  Gall,Decathlon AG2R La Mondiale Team,2/27/98,Austria,66,1.8,Leader
