Name,Team,Birthdate,Nationality,Weight,Height,HeightC
Tadej  Pogačar,UAE Team Emirates - XRG,9/21/98,Slovenia,66,1.76,-5.424581005586617
João  Almeida,UAE Team Emirates - XRG,8/5/98,Portugal,63,1.78,-3.4245810055866173
Jhonatan  Narváez,UAE Team Emirates - XRG,3/4/97,Ecuador,65,1.74,-7.424581005586617
Nils  Politt,UAE Team Emirates - XRG,3/6/94,Germany,80,1.92,10.575418994413383
Pavel  Sivakov,UAE Team Emirates - XRG,7/11/97,France,70,1.88,6.575418994413383
Marc  Soler,UAE Team Emirates - XRG,11/22/93,Spain,68,1.86,4.575418994413383
Tim  Wellens,UAE Team Emirates - XRG,5/10/91,Belgium,71,1.82,0.5754189944133827
Adam  Yates,UAE Team Emirates - XRG,8/7/92,Great Britain,58,1.73,-8.424581005586617
Jonas  Vingegaard,Team Visma | Lease a Bike,12/10/96,Denmark,58,1.75,-6.424581005586617
Edoardo  Affini,Team Visma | Lease a Bike,6/24/96,Italy,80,1.9,8.575418994413383
Tiesj  Benoot,Team Visma | Lease a Bike,3/11/94,Belgium,72,1.9,8.575418994413383
Victor  Campenaerts,Team Visma | Lease a Bike,10/28/91,Belgium,68,1.73,-8.424581005586617
Matteo  Jorgenson,Team Visma | Lease a Bike,7/1/99,United States,69,1.9,8.575418994413383
Sepp  Kuss,Team Visma | Lease a Bike,9/13/94,United States,61,1.82,0.5754189944133827
Wout van Aert,Team Visma | Lease a Bike,9/15/94,Belgium,78,1.9,8.575418994413383
Simon  Yates,Team Visma | Lease a Bike,8/7/92,Great Britain,58,1.72,-9.424581005586617
Remco  Evenepoel,Soudal Quick-Step,1/25/00,Belgium,61,1.71,-10.424581005586617
Mattia  Cattaneo,Soudal Quick-Step,10/25/90,Italy,67,1.84,2.5754189944133827
Pascal  Eenkhoorn,Soudal Quick-Step,2/8/97,Netherlands,72,1.85,3.5754189944133827
Tim  Merlier,Soudal Quick-Step,10/30/92,Belgium,76,1.88,6.575418994413383
Valentin  Paret-Peintre,Soudal Quick-Step,1/14/01,France,52,1.78,-3.4245810055866173
Maximilian  Schachmann,Soudal Quick-Step,1/9/94,Germany,71,1.83,1.5754189944133827
Bert Van Lerberghe,Soudal Quick-Step,9/29/92,Belgium,83,1.9,8.575418994413383
Ilan Van Wilder,Soudal Quick-Step,5/14/00,Belgium,64,1.71,-10.424581005586617
Harry  Sweeny,EF Education - EasyPost,7/9/98,Australia,75,1.86,4.575418994413383
Neilson  Powless,EF Education - EasyPost,9/3/96,United States,67,1.83,1.5754189944133827
Ben  Healy,EF Education - EasyPost,9/11/00,Ireland,65,1.75,-6.424581005586617
Kasper  Asgreen,EF Education - EasyPost,2/8/95,Denmark,75,1.93,11.575418994413383
Marijn van den Berg,EF Education - EasyPost,7/19/99,Netherlands,73,1.82,0.5754189944133827
Alex  Baudin,EF Education - EasyPost,5/25/01,France,64,1.83,1.5754189944133827
Michael  Valgren,EF Education - EasyPost,2/7/92,Denmark,71,1.79,-2.4245810055866173
Vincenzo  Albanese,EF Education - EasyPost,11/12/96,Italy,70,1.75,-6.424581005586617
Bruno  Armirail,Decathlon AG2R La Mondiale Team,4/11/94,France,72,1.9,8.575418994413383
Stefan  Bissegger,Decathlon AG2R La Mondiale Team,9/13/98,Switzerland,78,1.81,-0.42458100558661727
Clément  Berthet,Decathlon AG2R La Mondiale Team,8/2/97,France,68,1.84,2.5754189944133827
Felix  Gall,Decathlon AG2R La Mondiale Team,2/27/98,Austria,66,1.8,-1.4245810055866173
Oliver  Naesen,Decathlon AG2R La Mondiale Team,9/16/90,Belgium,74,1.84,2.5754189944133827
Aurélien  Paret-Peintre,Decathlon AG2R La Mondiale Team,2/27/96,France,64,1.84,2.5754189944133827
Callum  Scotson,Decathlon AG2R La Mondiale Team,8/10/96,Australia,77,1.83,1.5754189944133827
Bastien  Tronchon,Decathlon AG2R La Mondiale Team,3/29/02,France,72,1.85,3.5754189944133827
Primož  Roglič,Red Bull - BORA - hansgrohe,10/29/89,Slovenia,65,1.77,-4.424581005586617
Florian  Lipowitz,Red Bull - BORA - hansgrohe,9/21/00,Germany,68,1.81,-0.42458100558661727
Aleksandr  Vlasov,Red Bull - BORA - hansgrohe,4/23/96,Russia,68,1.86,4.575418994413383
Laurence  Pithie,Red Bull - BORA - hansgrohe,7/17/02,New Zealand,74,1.85,3.5754189944133827
Mick van Dijke,Red Bull - BORA - hansgrohe,3/15/00,Netherlands,74,1.9,8.575418994413383
Gianni  Moscon,Red Bull - BORA - hansgrohe,4/20/94,Italy,71,1.8,-1.4245810055866173
Danny van Poppel,Red Bull - BORA - hansgrohe,7/26/93,Netherlands,82,1.84,2.5754189944133827
Jordi  Meeus,Red Bull - BORA - hansgrohe,7/1/98,Belgium,80,1.9,8.575418994413383
Alex  Aranburu,Cofidis,9/19/95,Spain,63,1.78,-3.4245810055866173
Emanuel  Buchmann,Cofidis,11/18/92,Germany,59,1.8,-1.4245810055866173
Bryan  Coquard,Cofidis,4/25/92,France,59,1.71,-10.424581005586617
Ion  Izagirre,Cofidis,2/4/89,Spain,60,1.73,-8.424581005586617
Alexis  Renard,Cofidis,6/1/99,France,74,1.86,4.575418994413383
Benjamin  Thomas,Cofidis,9/12/95,France,68,1.79,-2.4245810055866173
Damien  Touzé,Cofidis,7/7/96,France,69,1.74,-7.424581005586617
Dylan  Teuns,Cofidis,3/1/92,Belgium,64,1.81,-0.42458100558661727
Mathieu van der Poel,Alpecin - Deceuninck,1/19/95,Netherlands,75,1.84,2.5754189944133827
Jasper  Philipsen,Alpecin - Deceuninck,3/2/98,Belgium,75,1.76,-5.424581005586617
Kaden  Groves,Alpecin - Deceuninck,12/23/98,Australia,76,1.76,-5.424581005586617
Jonas  Rickaert,Alpecin - Deceuninck,2/7/94,Belgium,88,1.87,5.575418994413383
Emiel  Verstrynge,Alpecin - Deceuninck,2/4/02,Belgium,69,1.89,7.575418994413383
Xandro  Meurisse,Alpecin - Deceuninck,1/31/92,Belgium,71,1.81,-0.42458100558661727
Silvan  Dillier,Alpecin - Deceuninck,8/3/90,Switzerland,75,1.83,1.5754189944133827
Gianni  Vermeersch,Alpecin - Deceuninck,11/19/92,Belgium,68,1.73,-8.424581005586617
Raúl  García Pierna,Arkéa - B&B Hotels,2/23/01,Spain,67,1.75,-6.424581005586617
Arnaud  Démare,Arkéa - B&B Hotels,8/26/91,France,76,1.81,-0.42458100558661727
Amaury  Capiot,Arkéa - B&B Hotels,6/25/93,Belgium,69,1.86,4.575418994413383
Kévin  Vauquelin,Arkéa - B&B Hotels,4/26/01,France,69,1.76,-5.424581005586617
Cristián  Rodríguez,Arkéa - B&B Hotels,3/3/95,Spain,59,1.78,-3.4245810055866173
Ewen  Costiou,Arkéa - B&B Hotels,11/10/02,France,64,1.76,-5.424581005586617
Mathis Le Berre,Arkéa - B&B Hotels,4/16/01,France,68,1.76,-5.424581005586617
Clément  Venturini,Arkéa - B&B Hotels,10/16/93,France,60,1.65,-16.424581005586617
Michał  Kwiatkowski,INEOS Grenadiers,6/2/90,Poland,68,1.76,-5.424581005586617
Carlos  Rodríguez,INEOS Grenadiers,2/2/01,Spain,67,1.83,1.5754189944133827
Filippo  Ganna,INEOS Grenadiers,7/25/96,Italy,83,1.93,11.575418994413383
Geraint  Thomas,INEOS Grenadiers,5/25/86,Great Britain,71,1.83,1.5754189944133827
Thymen  Arensman,INEOS Grenadiers,12/4/99,Netherlands,68,1.9,8.575418994413383
Laurens De Plus,INEOS Grenadiers,9/4/95,Belgium,67,1.89,7.575418994413383
Tobias  Foss,INEOS Grenadiers,5/25/97,Norway,74,1.84,2.5754189944133827
Biniam  Girmay,Intermarché - Wanty,4/2/00,Eritrea,70,1.84,2.5754189944133827
Hugo  Page,Intermarché - Wanty,7/24/01,France,71,1.85,3.5754189944133827
Laurenz  Rex,Intermarché - Wanty,12/15/99,Belgium,82,1.93,11.575418994413383
Georg  Zimmermann,Intermarché - Wanty,10/11/97,Germany,70,1.81,-0.42458100558661727
Louis  Barré,Intermarché - Wanty,4/6/00,France,68,1.84,2.5754189944133827
Vito  Braet,Intermarché - Wanty,11/2/00,Belgium,68,1.84,2.5754189944133827
Jonas  Rutsch,Intermarché - Wanty,1/24/98,Germany,82,1.97,15.575418994413383
Roel van Sintmaartensdijk,Intermarché - Wanty,5/8/01,Netherlands,77,1.97,15.575418994413383
Edward  Theuns,Lidl - Trek,4/30/91,Belgium,72,1.83,1.5754189944133827
Thibau  Nys,Lidl - Trek,11/12/02,Belgium,64,1.76,-5.424581005586617
Jasper  Stuyven,Lidl - Trek,4/17/92,Belgium,78,1.87,5.575418994413383
Simone  Consonni,Lidl - Trek,9/12/94,Italy,60,1.65,-16.424581005586617
Jonathan  Milan,Lidl - Trek,10/1/00,Italy,87,1.96,14.575418994413383
Mattias  Skjelmose,Lidl - Trek,9/26/00,Denmark,65,1.8,-1.4245810055866173
Toms  Skujiņš,Lidl - Trek,6/15/91,Latvia,70,1.81,-0.42458100558661727
Quinn  Simmons,Lidl - Trek,5/8/01,United States,73,1.85,3.5754189944133827
Lewis  Askey,Groupama - FDJ,5/4/01,Great Britain,75,1.87,5.575418994413383
Cyril  Barthe,Groupama - FDJ,2/14/96,France,70,1.84,2.5754189944133827
Romain  Grégoire,Groupama - FDJ,1/21/03,France,64,1.76,-5.424581005586617
Valentin  Madouas,Groupama - FDJ,7/12/96,France,71,1.79,-2.4245810055866173
Guillaume  Martin,Groupama - FDJ,6/9/93,France,55,1.73,-8.424581005586617
Quentin  Pacher,Groupama - FDJ,1/6/92,France,62,1.79,-2.4245810055866173
Paul  Penhoët,Groupama - FDJ,12/28/01,France,64,1.73,-8.424581005586617
Clément  Russo,Groupama - FDJ,1/20/95,France,74,1.87,5.575418994413383
Pablo  Castrillo,Movistar Team,1/2/01,Spain,74,1.83,1.5754189944133827
Enric  Mas,Movistar Team,1/7/95,Spain,61,1.77,-4.424581005586617
Nelson  Oliveira,Movistar Team,3/6/89,Portugal,67,1.8,-1.4245810055866173
Einer  Rubio,Movistar Team,2/22/98,Colombia,56,1.64,-17.424581005586617
Iván  Romeo,Movistar Team,8/16/03,Spain,75,1.93,11.575418994413383
Gregor  Mühlberger,Movistar Team,4/4/94,Austria,64,1.8,-1.4245810055866173
