tasktype,ID,sumscore,nitems,group,gp,tt
PSTps,1,76,80,immersion,2,1
PSTps,2,74,80,native,1,1
PSTps,3,71,80,immersion,2,1
PSTps,4,71,80,classroom,3,1
PSTps,5,79,80,classroom,3,1
PSTps,6,79,80,native,1,1
PSTps,7,78,80,native,1,1
PSTps,8,77,80,classroom,3,1
PSTps,9,74,80,native,1,1
PSTps,10,78,80,classroom,3,1
PSTps,11,72,80,classroom,3,1
PSTps,12,76,80,immersion,2,1
PSTps,13,76,80,native,1,1
PSTps,14,75,80,immersion,2,1
PSTps,15,80,80,classroom,3,1
PSTps,16,76,80,immersion,2,1
PSTps,17,78,80,native,1,1
PSTps,18,73,80,immersion,2,1
PSTps,19,73,80,native,1,1
PSTps,20,78,80,native,1,1
PSTps,21,71,80,native,1,1
PSTps,22,80,80,immersion,2,1
PSTps,23,80,80,immersion,2,1
PSTps,24,77,80,classroom,3,1
PSTps,25,80,80,native,1,1
PSTps,26,77,80,immersion,2,1
PSTps,27,79,80,immersion,2,1
PSTps,28,73,80,immersion,2,1
PSTps,29,76,80,native,1,1
PSTps,30,78,80,classroom,3,1
PSTps,31,80,80,immersion,2,1
PSTps,32,78,80,classroom,3,1
PSTps,33,80,80,native,1,1
PSTps,34,75,80,classroom,3,1
PSTps,35,80,80,native,1,1
PSTps,36,76,80,native,1,1
PSTps,37,80,80,immersion,2,1
PSTps,38,80,80,native,1,1
PSTps,39,75,80,classroom,3,1
PSTps,40,80,80,classroom,3,1
PSTps,41,78,80,classroom,3,1
PSTps,42,78,80,classroom,3,1
PSTps,43,80,80,native,1,1
PSTps,44,76,80,native,1,1
PSTps,45,76,80,native,1,1
PSTps,46,74,80,immersion,2,1
PSTps,47,74,80,native,1,1
PSTps,48,80,80,immersion,2,1
PSTps,49,78,80,classroom,3,1
PSTps,50,79,80,immersion,2,1
PSTps,51,73,80,immersion,2,1
PSTps,52,79,80,native,1,1
PSTps,53,79,80,classroom,3,1
PSTps,54,77,80,native,1,1
PSTps,55,75,80,immersion,2,1
PSTps,56,80,80,native,1,1
PSTps,57,74,80,classroom,3,1
PSTps,58,77,80,immersion,2,1
PSTps,59,72,80,immersion,2,1
PSTps,60,75,80,classroom,3,1
PSTps,61,77,80,native,1,1
PSTps,62,74,80,immersion,2,1
PSTps,63,80,80,classroom,3,1
PSTps,64,80,80,immersion,2,1
PSTps,65,79,80,classroom,3,1
PSTps,66,79,80,native,1,1
PSTps,67,80,80,classroom,3,1
PSTps,68,71,80,classroom,3,1
PSTps,69,78,80,native,1,1
PSTps,70,77,80,native,1,1
PSTps,71,75,80,immersion,2,1
PSTps,72,75,80,immersion,2,1
PSTps,73,79,80,native,1,1
PSTps,74,70,80,immersion,2,1
PSTps,75,78,80,classroom,3,1
PSTps,76,80,80,immersion,2,1
PSTps,77,70,80,immersion,2,1
PSTps,78,80,80,native,1,1
PSTps,79,80,80,classroom,3,1
PSTps,80,77,80,immersion,2,1
PSTps,81,78,80,classroom,3,1
PSTps,82,80,80,native,1,1
PSTps,83,73,80,immersion,2,1
PSTps,84,79,80,native,1,1
PSTps,85,78,80,immersion,2,1
PSTps,86,77,80,native,1,1
PSTps,87,76,80,native,1,1
PSTps,88,76,80,classroom,3,1
PSTps,89,77,80,native,1,1
PSTps,90,76,80,native,1,1
PSTps,91,79,80,classroom,3,1
PSTps,92,76,80,immersion,2,1
PSTps,93,78,80,immersion,2,1
PSTps,94,79,80,immersion,2,1
PSTps,95,79,80,classroom,3,1
PSTps,96,78,80,classroom,3,1
PSTps,97,79,80,classroom,3,1
PSTps,98,75,80,classroom,3,1
PSTps,99,80,80,classroom,3,1
PSTps,100,78,80,native,1,1
PSTps,101,80,80,classroom,3,1
PSTps,102,80,80,immersion,2,1
PSTps,103,74,80,classroom,3,1
PSTps,104,76,80,classroom,3,1
PSTps,105,77,80,native,1,1
